,date,id,meancircumplex.arousal,meancircumplex.valence,countappCat.builtin,countappCat.communication,countappCat.entertainment,countappCat.finance,countappCat.game,countappCat.office,countappCat.other,countappCat.social,countappCat.travel,countappCat.unknown,countappCat.utilities,countappCat.weather,countcall,countcircumplex.arousal,countcircumplex.valence,countmood,countscreen,countsms,sumactivity,sumappCat.builtin,sumappCat.communication,sumappCat.entertainment,sumappCat.finance,sumappCat.game,sumappCat.office,sumappCat.other,sumappCat.social,sumappCat.travel,sumappCat.unknown,sumappCat.utilities,sumappCat.weather,sumcall,Target,bin,handmatige_bin
389,2014-04-19,AS14.07,0.4050000000000001,0.3277777777777778,0.0982142857142857,0.23473541383989144,0.0,0.0,0.0,0.0,0.13157894736842105,0.048387096774193554,0.0,0.0,0.0,0.0,0.0,0.8461538461538463,0.8461538461538463,0.8461538461538463,0.16254876462938883,0.0625,0.15420643073671153,0.18791559303800606,0.18425823821146217,0.06494565017001826,0.0,0.0,0.0,0.043732655450130664,0.055847796664310397,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
394,2014-04-24,AS14.07,0.45333333333333337,0.4222222222222222,0.23214285714285712,0.3215739484396201,0.01639344262295082,0.0,0.0,0.0,0.14912280701754388,0.06129032258064516,0.0,0.0,0.0,0.0,0.17647058823529413,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.2314694408322497,0.03125,0.2968596524339074,0.2614652960439206,0.3509369573865341,0.1473170482817506,0.0,0.0,0.0,0.0620465809164189,0.048552928543953724,0.055804585011852016,0.19876516616526246,7.673937466617527e-07,0.0,0.17647058823529413,3.3333333333333335,0.0,0
661,2014-04-17,AS14.13,0.37500000000000006,0.5499999999999999,0.15401785714285712,0.7489823609226595,0.0,0.0,0.0,0.005272407732864675,0.39473684210526316,0.07096774193548389,0.0,0.0,0.0,0.0,0.058823529411764705,0.8461538461538463,0.8461538461538463,0.8461538461538463,0.6228868660598179,0.0,0.4256502432332618,0.24599113413407117,0.6033242106050457,0.021749897307431654,0.0,0.0,0.0601404048344533,0.20912850920218015,0.021739655915467348,0.0,0.0,0.0,0.0,0.058823529411764705,3.5,0.0,0
380,2014-04-10,AS14.07,0.5000000000000001,0.4666666666666666,0.24441964285714285,0.36499321573948446,0.015027322404371586,0.0,0.0,0.0,0.13157894736842105,0.07419354838709677,0.0,0.25,0.0,0.0,0.11764705882352941,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.31339401820546164,0.125,0.22295371747217316,0.29287904305188256,0.30004491260339794,0.08713920328903221,0.0,0.0,0.0,0.046972752218306796,0.05489253503152386,0.01474735776506705,0.19989641143056297,0.003864594908189012,0.0,0.11764705882352941,3.5,0.0,0
240,2014-03-23,AS14.05,0.26,0.22222222222222224,0.032366071428571425,0.2021709633649932,0.21994535519125682,0.0,0.0,0.0,0.18421052631578946,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.23407022106631992,0.3125,0.1409492497924135,0.06237984369270435,0.22701013788482705,0.17578914829046022,0.0,0.0,0.0,0.0365115360384979,0.0,0.0,0.0,0.00463045386735752,0.0,0.029411764705882353,3.75,0.0,0
238,2014-03-21,AS14.05,0.8,0.6166666666666667,0.04910714285714285,0.2808683853459973,0.27595628415300544,0.0,0.0,0.0,0.20175438596491227,0.0,0.0,0.05,0.017543859649122806,0.0,0.058823529411764705,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.305591677503251,0.0625,0.2767205563532637,0.08721941386517662,0.38138574881760884,0.14326614784580788,0.0,0.0,0.0,0.0467276185790362,0.0,0.0,0.010352564180137615,0.010811043102971958,0.0,0.058823529411764705,3.75,0.0,0
386,2014-04-16,AS14.07,0.38,0.4333333333333333,0.2354910714285714,0.37042062415196747,0.01639344262295082,0.0,0.0,0.0,0.14035087719298245,0.05161290322580645,0.0,0.0,0.0,0.0,0.058823529411764705,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.34330299089726923,0.21875,0.14546278544476135,0.3025316703241716,0.32012305513884093,0.13866396619924692,0.0,0.0,0.0,0.046618137184984754,0.07839787806480827,0.022436952268274114,0.009720867530066098,0.0,0.0,0.058823529411764705,3.8,0.0,0
369,2014-03-30,AS14.07,0.6650000000000001,0.6111111111111112,0.31473214285714285,0.373134328358209,0.040983606557377046,0.0,0.0,0.0,0.18421052631578946,0.11935483870967743,0.1474358974358974,0.15,0.0,0.0,0.029411764705882353,0.8461538461538463,0.8461538461538463,0.8461538461538463,0.2808842652795839,0.125,0.18299590770607213,0.42186415480010886,0.3779851189914266,0.3274039378539057,0.0,0.0,0.0,0.09731020353507136,0.10598673577139257,0.2819119907683206,0.14670222884844847,0.010148014905856135,0.0,0.029411764705882353,4.333333333333333,0.0,0
239,2014-03-22,AS14.05,0.5000000000000001,0.4222222222222223,0.03571428571428571,0.21438263229308005,0.21721311475409835,0.0,0.0,0.0,0.22807017543859648,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.26007802340702213,0.0625,0.171348117139193,0.06073653724791279,0.2639404208546399,0.15217922498950154,0.0,0.0,0.0,0.04609573791695437,0.0,0.0,0.0,0.00463045386735752,0.0,0.058823529411764705,4.4,0.0,0
118,2014-04-05,AS14.02,0.455,0.4222222222222222,0.4854910714285714,0.4097693351424695,0.060109289617486336,0.0,0.0,0.0,0.1754385964912281,0.08064516129032259,0.25,0.0,0.0,0.0,0.2549019607843137,0.8461538461538463,0.8461538461538463,0.8461538461538463,0.6749024707412224,0.0,0.7978155803032688,0.4436570160405753,0.3169712998914618,0.14085922538014184,0.0,0.0,0.0,0.0427205704780295,0.014579938253590488,0.2445697229246426,0.0,0.0,0.0,0.2549019607843137,4.5,0.0,0
